#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=100 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:73 out:75 type:b dur:2 cpbdur:2 q:41.90 aq:37.18 tex:41 mv:32 misc:247 imb:0 pmb:4 smb:3596 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:41.72 aq:35.20 tex:45 mv:55 misc:268 imb:0 pmb:6 smb:3594 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:41.35 aq:32.01 tex:4954 mv:2546 misc:1364 imb:75 pmb:291 smb:3234 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:41.49 aq:31.43 tex:113 mv:542 misc:545 imb:2 pmb:60 smb:3538 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:41.56 aq:27.00 tex:3 mv:57 misc:252 imb:0 pmb:6 smb:3594 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:41.42 aq:26.00 tex:3 mv:60 misc:257 imb:0 pmb:5 smb:3595 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:41.21 aq:32.03 tex:4730 mv:2560 misc:1382 imb:68 pmb:282 smb:3250 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:41.28 aq:29.78 tex:121 mv:553 misc:558 imb:2 pmb:60 smb:3538 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:41.32 aq:26.00 tex:4 mv:103 misc:293 imb:0 pmb:11 smb:3589 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:41.25 aq:33.67 tex:43 mv:76 misc:273 imb:0 pmb:9 smb:3591 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:41.03 aq:32.79 tex:4588 mv:2436 misc:1352 imb:64 pmb:298 smb:3238 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:41.12 aq:30.57 tex:121 mv:570 misc:517 imb:2 pmb:56 smb:3542 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:41.17 aq:26.00 tex:4 mv:100 misc:264 imb:0 pmb:10 smb:3590 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:41.08 aq:30.15 tex:41 mv:45 misc:242 imb:0 pmb:5 smb:3595 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:40.83 aq:30.31 tex:4720 mv:2505 misc:1375 imb:75 pmb:276 smb:3249 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:40.93 aq:25.00 tex:13 mv:546 misc:513 imb:0 pmb:55 smb:3545 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:40.98 aq:26.00 tex:4 mv:81 misc:291 imb:0 pmb:9 smb:3591 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:40.88 aq:26.00 tex:2 mv:86 misc:272 imb:0 pmb:7 smb:3593 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:40.70 aq:30.81 tex:5134 mv:2682 misc:1376 imb:74 pmb:296 smb:3230 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:40.77 aq:34.32 tex:127 mv:632 misc:561 imb:0 pmb:68 smb:3532 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:40.80 aq:26.00 tex:5 mv:108 misc:287 imb:0 pmb:11 smb:3589 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:40.73 aq:29.84 tex:35 mv:103 misc:302 imb:0 pmb:12 smb:3588 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:40.49 aq:31.95 tex:5188 mv:2720 misc:1412 imb:68 pmb:306 smb:3226 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:40.59 aq:34.87 tex:162 mv:568 misc:574 imb:0 pmb:74 smb:3526 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:40.65 aq:26.00 tex:6 mv:143 misc:307 imb:0 pmb:14 smb:3586 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:40.54 aq:26.00 tex:2 mv:86 misc:272 imb:0 pmb:9 smb:3591 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:40.37 aq:31.84 tex:5193 mv:2650 misc:1349 imb:81 pmb:285 smb:3234 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:40.43 aq:34.65 tex:163 mv:653 misc:600 imb:2 pmb:71 smb:3527 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:40.46 aq:25.00 tex:5 mv:104 misc:275 imb:0 pmb:9 smb:3591 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:40.40 aq:25.00 tex:7 mv:116 misc:277 imb:0 pmb:12 smb:3588 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:40.27 aq:30.85 tex:4652 mv:2655 misc:1261 imb:62 pmb:312 smb:3226 d:- ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:40.32 aq:33.42 tex:94 mv:702 misc:588 imb:1 pmb:71 smb:3528 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:40.35 aq:25.00 tex:4 mv:151 misc:309 imb:0 pmb:15 smb:3585 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:40.30 aq:25.00 tex:2 mv:90 misc:268 imb:0 pmb:9 smb:3591 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:40.16 aq:31.24 tex:4478 mv:2727 misc:1395 imb:67 pmb:314 smb:3219 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:40.22 aq:34.13 tex:102 mv:808 misc:634 imb:0 pmb:87 smb:3513 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:40.25 aq:25.00 tex:4 mv:153 misc:307 imb:0 pmb:15 smb:3585 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:40.19 aq:25.00 tex:6 mv:124 misc:302 imb:0 pmb:12 smb:3588 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:40.02 aq:31.40 tex:5039 mv:2588 misc:1309 imb:54 pmb:326 smb:3220 d:- ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:40.09 aq:32.38 tex:141 mv:693 misc:558 imb:1 pmb:67 smb:3532 d:- ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:40.13 aq:32.67 tex:44 mv:168 misc:316 imb:0 pmb:18 smb:3582 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:40.06 aq:25.00 tex:2 mv:109 misc:289 imb:0 pmb:12 smb:3588 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:39.90 aq:30.24 tex:5471 mv:3092 misc:1477 imb:91 pmb:341 smb:3168 d:- ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:39.96 aq:26.07 tex:72 mv:793 misc:623 imb:3 pmb:76 smb:3521 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:39.99 aq:25.00 tex:5 mv:156 misc:303 imb:0 pmb:16 smb:3584 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:39.93 aq:25.00 tex:7 mv:127 misc:306 imb:0 pmb:16 smb:3584 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:39.83 aq:30.21 tex:4609 mv:2799 misc:1280 imb:56 pmb:349 smb:3195 d:- ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:39.86 aq:30.48 tex:148 mv:864 misc:652 imb:1 pmb:88 smb:3511 d:- ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:39.88 aq:30.56 tex:52 mv:169 misc:323 imb:0 pmb:21 smb:3579 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:39.84 aq:32.36 tex:52 mv:119 misc:301 imb:0 pmb:14 smb:3586 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:39.74 aq:30.06 tex:4950 mv:2755 misc:1335 imb:60 pmb:308 smb:3232 d:- ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:39.78 aq:24.00 tex:18 mv:729 misc:565 imb:1 pmb:77 smb:3522 d:- ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:39.80 aq:34.10 tex:46 mv:185 misc:353 imb:0 pmb:23 smb:3577 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:39.76 aq:25.00 tex:8 mv:113 misc:287 imb:0 pmb:14 smb:3586 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:39.63 aq:30.71 tex:5675 mv:2614 misc:1343 imb:69 pmb:300 smb:3231 d:- ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:39.69 aq:23.00 tex:16 mv:696 misc:584 imb:0 pmb:75 smb:3525 d:- ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:39.71 aq:25.00 tex:7 mv:134 misc:299 imb:0 pmb:14 smb:3586 d:- ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:39.66 aq:25.00 tex:5 mv:129 misc:298 imb:0 pmb:15 smb:3585 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:39.54 aq:31.09 tex:4970 mv:2869 misc:1385 imb:69 pmb:327 smb:3204 d:- ref:0 ;
in:134 out:134 type:B dur:2 cpbdur:2 q:39.59 aq:30.88 tex:70 mv:774 misc:612 imb:0 pmb:83 smb:3517 d:- ref:0 ;
in:133 out:135 type:b dur:2 cpbdur:2 q:39.61 aq:35.24 tex:42 mv:185 misc:341 imb:0 pmb:21 smb:3579 d:- ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:39.56 aq:32.01 tex:62 mv:140 misc:318 imb:0 pmb:18 smb:3582 d:- ref:0 ;
in:140 out:137 type:P dur:2 cpbdur:2 q:39.46 aq:30.83 tex:5704 mv:2791 misc:1361 imb:62 pmb:333 smb:3205 d:- ref:0 ;
in:138 out:138 type:B dur:2 cpbdur:2 q:39.50 aq:30.02 tex:206 mv:857 misc:665 imb:1 pmb:88 smb:3511 d:- ref:0 ;
in:137 out:139 type:b dur:2 cpbdur:2 q:39.52 aq:30.55 tex:53 mv:200 misc:347 imb:0 pmb:23 smb:3577 d:- ref:0 ;
